scheme,candidate,feature,global_center,bin,low,high,feature_center,events,signal_center,relative_response
contiguous_file_block,A1_s2_lifetime,dt_us,0.9962048391688628,2,380.4608,458.34200000000004,417.798,900,0.9838121334178169,0.987560082762311
contiguous_file_block,A1_s2_lifetime,dt_us,0.9962048391688628,3,458.34200000000004,553.3672,501.149,900,1.0132805211511018,1.0171407338238643
contiguous_file_block,A1_s2_lifetime,dt_us,0.9962048391688628,4,553.3672,842.3,635.726,900,1.0536961467112405,1.057710327516922
contiguous_file_block,A1_s2_lifetime,r2,0.9962048391688628,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.0758910488097744,1.0799897837350338
contiguous_file_block,A1_s2_lifetime,r2,0.9962048391688628,1,116121.5027526799,125947.79815012205,122035.51647905367,900,0.9875532059274921,0.991315407332704
contiguous_file_block,A1_s2_lifetime,r2,0.9962048391688628,2,125947.79815012205,131626.35543508327,128983.76821730396,900,0.9862013336702629,0.9899583849573087
contiguous_file_block,A1_s2_lifetime,r2,0.9962048391688628,3,131626.35543508327,137797.2000092193,134381.02785862517,900,0.9925501814793312,0.9963314194572868
contiguous_file_block,A1_s2_lifetime,r2,0.9962048391688628,4,137797.2000092193,211200.55667431746,142702.498946345,900,0.9739245056507805,0.977634786901185
contiguous_file_block,A1_s2_lifetime,fileNumber,0.9962048391688628,0,0.0,208.0,106.0,897,0.9902199475988485,0.9939923082736603
contiguous_file_block,A1_s2_lifetime,fileNumber,0.9962048391688628,1,208.0,397.0,303.0,901,1.000545631276217,1.0043573288712146
contiguous_file_block,A1_s2_lifetime,fileNumber,0.9962048391688628,2,397.0,590.0,496.0,898,0.9948421694357211,0.9986321390144234
contiguous_file_block,A1_s2_lifetime,fileNumber,0.9962048391688628,3,590.0,799.0,697.0,902,0.9912331047330077,0.9950093251504349
contiguous_file_block,A1_s2_lifetime,fileNumber,0.9962048391688628,4,799.0,999.0,902.0,902,1.014880963594458,1.0187472733430774
contiguous_file_block,A2_s1_dt_r2,dt_us,0.9975155482833596,0,10.112,292.3052,214.621,900,1.043437003596687,1.0460358291079814
contiguous_file_block,A2_s1_dt_r2,dt_us,0.9975155482833596,1,292.3052,380.4608,339.883,900,1.0223421628417162,1.0248884487074723
contiguous_file_block,A2_s1_dt_r2,dt_us,0.9975155482833596,2,380.4608,458.34200000000004,417.798,900,0.9993730762162001,1.0018621543654502
contiguous_file_block,A2_s1_dt_r2,dt_us,0.9975155482833596,3,458.34200000000004,553.3672,501.149,900,0.9751771875993858,0.977606002510521
contiguous_file_block,A2_s1_dt_r2,dt_us,0.9975155482833596,4,553.3672,842.3,635.726,900,0.9490965451329008,0.9514604025633646
contiguous_file_block,A2_s1_dt_r2,r2,0.9975155482833596,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.0509562925699774,1.053573845920081
contiguous_file_block,A2_s1_dt_r2,r2,0.9975155482833596,1,116121.5027526799,125947.79815012205,122035.51647905367,900,1.0280220280001118,1.0305824603629
contiguous_file_block,A2_s1_dt_r2,r2,0.9975155482833596,2,125947.79815012205,131626.35543508327,128983.76821730396,900,0.9977725805962456,1.0002576724877406
contiguous_file_block,A2_s1_dt_r2,r2,0.9975155482833596,3,131626.35543508327,137797.2000092193,134381.02785862517,900,0.9702363288903718,0.9726528379031956
contiguous_file_block,A2_s1_dt_r2,r2,0.9975155482833596,4,137797.2000092193,211200.55667431746,142702.498946345,900,0.9433032266896787,0.9456526550518678
