outer_fold,s1,s2,alpha,inner_r68,inner_sigma_over_mu,inner_fit_p,inner_fit_success
2,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_maxS2forMS,0.6,0.06584875762743538,0.0462835036032422,2.032351434598261e-08,True
2,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_maxS2forMS,0.6,0.06584875762743538,0.04628487501964837,1.9174023367555294e-08,True
2,qS1ub_C,qS2Bdesub_C_stretch,0.44999999999999996,0.06627569889569973,0.05428357014470792,0.001654366690577478,True
2,qS1ub_C,qS2Bub_C_stretch,0.44999999999999996,0.06627657931023363,0.05425273429296139,0.0015230218542987587,True
3,qS1ub_C,qS2BC_desImageMCPAF_maxS2,0.49999999999999994,0.06561735246096483,0.049084412958063366,2.726320187860858e-14,True
3,qS1ub_C,qS2BdesC_desImageMCPAF_maxS2,0.49999999999999994,0.06561748480413437,0.04908188303333008,2.0712045957016826e-14,True
3,qS1ub_C,qS2Bdesub_C,0.49999999999999994,0.0657891093186186,0.049972221864623335,3.5118639036884036e-08,True
3,qS1ub_C,qS2Bub_C,0.49999999999999994,0.06578911039399371,0.04997334977480074,5.57278976412901e-08,True
3,qS1ub_C,qS2BC_desImageMCPAF_maxS2,0.5499999999999999,0.06590989806124598,0.048208561292501007,6.247475480829963e-19,True
3,qS1ub_C,qS2BdesC_desImageMCPAF_maxS2,0.5499999999999999,0.06590990807641299,0.048213107339958094,5.8696485553684255e-19,True
3,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_maxS2forMS,0.49999999999999994,0.06627288802571171,0.047540122503389064,2.898281823295775e-16,True
3,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_maxS2forMS,0.49999999999999994,0.06627288802571171,0.047501292838277344,9.982546260230443e-17,True
3,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_firstS2forMS,0.49999999999999994,0.06627288802571171,0.047501292838277344,9.982546260230443e-17,True
3,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_firstS2forMS,0.49999999999999994,0.06627288802571171,0.047540122503389064,2.898281823295775e-16,True
3,qS1ub_C,qS2Bub_C_stretch,0.49999999999999994,0.06627719778088369,0.05026473421083463,8.509820653792563e-07,True
3,qS1ub_C,qS2Bdesub_C_stretch,0.49999999999999994,0.06627728796673399,0.05026648845819696,8.405729972604033e-07,True
3,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_firstS2forMS,0.5499999999999999,0.06634249793075077,0.049981196070206235,2.3731154167279417e-16,True
3,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_maxS2forMS,0.5499999999999999,0.06634249793075077,0.049981196070206235,2.3731154167279417e-16,True
3,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_firstS2forMS,0.5499999999999999,0.06634249793075077,0.049996418811640776,2.8354063523554435e-16,True
3,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_maxS2forMS,0.5499999999999999,0.06634249793075077,0.049996418811640776,2.8354063523554435e-16,True
3,qS1ub_C,qS2Bdesub_C,0.44999999999999996,0.06634964541936102,0.053605394433417705,0.007314055501313205,True
3,qS1ub_C,qS2Bub_C,0.44999999999999996,0.06634987240688209,0.053593656798546205,0.0066901166297029585,True
3,qS1ub_C,qS2Bub_C,0.5499999999999999,0.06649693077981855,0.04835903849592668,1.1499737983321692e-12,True
3,qS1ub_C,qS2Bdesub_C,0.5499999999999999,0.06649789686364752,0.048293885947677806,2.052021207898673e-12,True
