scheme,replicate,raw_r68,winner_r68,delta_r68,ratio_r68,raw_r90,winner_r90,delta_r90,ratio_r90
event_random5,23,0.07726291899578984,0.05720791925387926,-0.02005499974191058,0.7404317620590622,0.14841211432310245,0.11996756107427918,-0.028444553248823265,0.8083407585791973
event_random5,24,0.08000873702013754,0.05909746420475384,-0.0209112728153837,0.7386376339109002,0.14948373107856375,0.11885935118259176,-0.030624379895971984,0.7951323553739984
event_random5,25,0.08028929848028009,0.058668285859550987,-0.021621012620729102,0.730711152918599,0.14869088648735476,0.11805976669205781,-0.03063111979529695,0.7939946386835084
event_random5,26,0.07986188791983113,0.05907630612148378,-0.02078558179834735,0.7397308986833265,0.14848349098243233,0.12044543850158149,-0.02803805248085084,0.8111705732715556
event_random5,27,0.07989537930634952,0.06022138328189982,-0.0196739960244497,0.7537530180686414,0.15185526272022926,0.12253598468706228,-0.029319278033166973,0.8069261643754594
event_random5,28,0.07815981539080091,0.05878119446477938,-0.019378620926021536,0.7520641415396393,0.1529316529631204,0.11781962292551995,-0.03511203003760044,0.7704070455181196
event_random5,29,0.07988630123542956,0.06024165734476479,-0.019644643890664767,0.7540924590716641,0.1560105895314318,0.12439092242231867,-0.031619667109113125,0.7973235842253987
event_random5,30,0.08181681463362403,0.05750744199467186,-0.02430937263895217,0.7028804806468008,0.1526703953077375,0.11770024405199317,-0.03497015125574432,0.7709434682129758
event_random5,31,0.07989411677701853,0.05839054925086578,-0.021503567526152755,0.7308491739614771,0.146680974261841,0.11713191767703153,-0.029549056584809483,0.7985488115721041
event_random5,32,0.08206576076487113,0.059105839948323476,-0.02295992081654765,0.7202253338961817,0.1511355645878036,0.11942673661480534,-0.031708827972998274,0.7901961192292584
event_random5,33,0.08271048795349172,0.05896008181300512,-0.023750406140486596,0.7128489176143962,0.15404202137968503,0.11638842097160844,-0.037653600408076596,0.7555627998722021
event_random5,34,0.08069314159617022,0.058446244948415334,-0.022246896647754887,0.7243025093868604,0.15305067811947465,0.11838212354846928,-0.03466855457100537,0.7734831691242664
