name,w_m06,w_s10,w_s02,sigma,sigma_gain,r68,r68_gain,r90,r90_gain,protocol_successes,background_applied,background_rank_corr,background_spike_growth,background_2600_spike_growth,background_ratio_q01,background_ratio_q99,time_ratio_span,time_applied_fraction_span,time_supported_blocks,safe,safety_pass_count
W_0.35_0.50_0.15,0.35000000000000003,0.5,0.1499999999999999,0.04183570706816911,-0.001311738108823013,0.06771921297081866,0.00032689944068720056,0.13088211683352166,0.002573161548937719,12,0.7864087658830187,0.9999865884521982,1.042929292929293,1.042929292929293,0.9957726040695802,1.0042215868672972,6.7724494954291e-05,0.013701779539993741,10,False,11
W_0.35_0.00_0.65,0.35000000000000003,0.0,0.6499999999999999,0.04183940438251399,-0.0014002310377694283,0.06769935369107598,0.0006200627378417645,0.1310408622803358,0.0013633937596856383,12,0.7495447296671639,0.9999849862666501,1.058974358974359,1.058974358974359,0.9956801016743633,1.004359084093766,0.00022177966416037087,0.011530934433636175,10,False,11
W_0.40_0.50_0.10,0.4,0.5,0.09999999999999998,0.04184091063195472,-0.0014362821852513807,0.06777216317575903,-0.00045475310998255303,0.1308927485490974,0.0024921393381835966,12,0.7864087658830187,0.9999881964210012,1.0445665445665446,1.0445665445665446,0.9960814548079399,1.0039335769209037,5.9267179526090175e-05,0.013701779539993741,10,False,11
W_0.75_0.05_0.20,0.75,0.05,0.2,0.041850086249969415,-0.0016558949195968342,0.0677382793760273,4.544058174182908e-05,0.13129813147256122,-0.0005972040915751542,12,0.7864087658830187,0.9999966392613223,1.0727272727272728,1.0727272727272728,0.9979130176612913,1.0024565682282225,0.00013528906069804059,0.013701779539993741,10,False,11
W_0.40_0.55_0.05,0.4,0.55,0.04999999999999993,0.041850307640135614,-0.0016611937561088475,0.06777582638754141,-0.0005088295547588384,0.13090115573414932,0.0024280698364864683,12,0.7864087658830187,0.9999879084666213,1.0491259795057264,1.0491259795057264,0.9960682392074656,1.0039762261942597,0.0001636405368912186,0.013701779539993741,10,False,11
W_0.65_0.30_0.05,0.65,0.30000000000000004,0.04999999999999993,0.04185271526346017,-0.0017188187292420665,0.06767409130365885,0.0009929868763384198,0.13099193692852087,0.0017362442312510717,12,0.7864087658830187,0.9999950048871651,1.0894071914480077,0.9866780045351473,0.9976591555926668,1.002781564397102,0.00011787990295686335,0.013701779539993741,10,False,11
W_0.35_0.45_0.20,0.35000000000000003,0.45,0.1999999999999999,0.0418528833877984,-0.0017228426811513042,0.06772059670648153,0.00030647269235717367,0.13087330141443856,0.0026403421217952028,12,0.7864087658830187,0.9999867640997359,1.0003607503607503,1.0003607503607503,0.9957787057786216,1.0042146036197772,9.591224942306908e-05,0.013701779539993741,10,False,11
W_0.45_0.50_0.05,0.45,0.5,0.050000000000000044,0.04185682857853291,-0.0018172683779635879,0.06780276190013962,-0.0009064524185360412,0.13089019915226538,0.0025115677894009814,12,0.7864087658830187,0.9999896480581386,0.9583889630618602,0.9583889630618602,0.9963900966563646,1.003660703600579,0.00016616897020282906,0.013701779539993741,10,False,11
W_0.35_0.15_0.50,0.35000000000000003,0.15000000000000002,0.4999999999999999,0.0418590790003011,-0.0018711308292067574,0.06771522014084656,0.00038584171929767486,0.13102952923242758,0.0014497606860357504,12,0.7864087658830187,0.9999862476477791,1.046685340802988,0.9877232142857143,0.9957807862769326,1.0042604891335147,6.46202406233698e-05,0.013701779539993741,10,False,11
W_0.40_0.45_0.15,0.4,0.45,0.14999999999999997,0.041861656316185325,-0.0019328172886583506,0.06776733341337486,-0.00038345600941491753,0.13088156178260527,0.002577391482668223,12,0.7864087658830187,0.9999884110186466,1.0058788947677837,1.0058788947677837,0.9960941683005811,1.003908147140641,7.46694306483775e-05,0.013701779539993741,10,False,11
W_0.40_0.25_0.35,0.4,0.25,0.35,0.041863935374756446,-0.001987365144043851,0.06776426445439367,-0.0003381519427307911,0.13095593055828128,0.0020106416882991196,12,0.7864087658830187,0.999988522677934,1.0625763125763126,1.0625763125763126,0.9961055122860967,1.0039018992277988,0.00015426901673887272,0.013701779539993741,10,False,11
W_0.75_0.20_0.05,0.75,0.2,0.04999999999999999,0.04186516584934525,-0.0020168157912434648,0.06773303353012741,0.00012287991994053282,0.13103101300770725,0.0014384531268215595,12,0.7864087658830187,0.9999967328663963,1.0471861471861472,1.0471861471861472,0.997922355447508,1.0025329882484133,1.6391014916905533e-05,0.013701779539993741,10,False,11
W_0.40_0.20_0.40,0.4,0.2,0.39999999999999997,0.04186544689076391,-0.0020235423435386313,0.06777348154642308,-0.0004742149381935512,0.1309464129656725,0.002083173387320447,12,0.7864087658830187,0.9999883645644415,1.0313441832429175,1.0313441832429175,0.9961060438205839,1.0039143907141053,0.00018418444166679038,0.013701779539993741,10,False,11
W_0.35_0.20_0.45,0.35000000000000003,0.2,0.4499999999999999,0.041867901315425046,-0.002082287477677136,0.06772099584464411,0.0003005806025494495,0.13102592223979942,0.0014772488665485417,12,0.7864087658830187,0.9999865164857294,0.9915966386554622,0.950915750915751,0.9957873435593675,1.00424231778093,0.0001965724087118481,0.013701779539993741,10,False,11
W_0.35_0.10_0.55,0.35000000000000003,0.1,0.5499999999999999,0.04186975023186759,-0.0021265401476198154,0.0677160414765314,0.00037371713670675266,0.13103657649864364,0.0013960548579847742,12,0.7864087658830187,0.9999859050056745,0.9705627705627706,0.9705627705627706,0.9957715453481446,1.0042804748273797,0.00013181899894254556,0.013701779539993741,10,False,11
W_0.35_0.05_0.60,0.35000000000000003,0.05,0.5999999999999999,0.04187108163491751,-0.002158406455027073,0.0677069211542315,0.0005083516144518407,0.1310193480175934,0.0015273497193530883,12,0.7864087658830187,0.9999854822192157,1.0063965884861408,1.0063965884861408,0.9957538703034191,1.0043032906790192,0.00024276772959308524,0.013701779539993741,10,False,11
W_0.45_0.55_0.00,0.45,0.55,0.0,0.0418723360561796,-0.0021884302510206677,0.06780662734786866,-0.0009635142765644922,0.130878739566988,0.00259889903212307,12,0.7201913678687175,0.9999893214753399,0.9995421245421245,0.9365079365079365,0.9963423836512257,1.0037281505609097,0.0001622503687936927,0.017645237849551187,10,False,11
W_0.65_0.25_0.10,0.65,0.25,0.09999999999999998,0.041875337072802235,-0.002260257725230863,0.06767819156804004,0.0009324586476829877,0.13100440610732253,0.0016412190750944022,12,0.7864087658830187,0.9999951186557355,1.0993788819875776,1.062137049941928,0.9976666243036623,1.002700086159307,4.4057403056685374e-05,0.013701779539993741,10,False,11
W_0.95_0.05_0.00,0.9500000000000001,0.05,0.0,0.04188141379596459,-0.0024057003305582025,0.0677235530715857,0.00026283073994193273,0.13120003688082457,0.00015035547479014255,12,0.7201913678687175,0.9999983061359607,1.0854978354978355,0.9811035525321239,0.9978780346395157,1.0022322617601171,1.382983947384453e-05,0.017645237849551187,10,False,11
W_0.40_0.30_0.30,0.4,0.30000000000000004,0.29999999999999993,0.041881893236392506,-0.0024171754402633194,0.06777620159407294,-0.0005143683650943309,0.13095670163033477,0.0020047655000227094,12,0.7864087658830187,0.9999886055424155,1.0905388471177944,1.0905388471177944,0.9961050704197874,1.0038940753046113,0.0001358331474048402,0.013701779539993741,10,False,11
W_0.70_0.20_0.10,0.7000000000000001,0.2,0.09999999999999992,0.0418822469133104,-0.002425640478246338,0.0677508638411693,-0.00014033167897231635,0.13107454349551223,0.0011067158514932451,12,0.7864087658830187,0.9999960276407116,1.0336927223719676,1.0336927223719676,0.9979067756903717,1.002587926420526,5.239683525481986e-05,0.013701779539993741,10,False,11
W_0.40_0.35_0.25,0.4,0.35000000000000003,0.24999999999999994,0.04188254293422422,-0.002432725555481019,0.06777292469996123,-0.00046599475363096055,0.13089210712854812,0.0024970274778780555,12,0.7864087658830187,0.999988613804095,1.0720551378446117,1.0720551378446117,0.9961035472702277,1.0038920057457803,0.00011113872363543997,0.013701779539993741,10,False,11
W_0.65_0.35_0.00,0.65,0.35000000000000003,0.0,0.04188264932023271,-0.0024352718387048444,0.06767999286510211,0.0009058678451608904,0.1309742677479178,0.0018708975771269953,12,0.7201913678687175,0.9999948184937043,1.0828373015873016,0.9705627705627706,0.9976424046322226,1.0028858533095266,0.0001077891758365368,0.017645237849551187,10,False,11
W_0.40_0.05_0.55,0.4,0.05,0.5499999999999999,0.04188996228234042,-0.0026103030575357344,0.06776449599612022,-0.00034156996880563284,0.13095303158488797,0.002032734193649688,12,0.7864087658830187,0.9999874459280547,1.0491259795057264,1.0491259795057264,0.9960759858189774,1.0039726482380629,0.00023223684423223645,0.013701779539993741,10,False,11
W_0.75_0.00_0.25,0.75,0.0,0.25,0.04189122093555704,-0.0026404281427401255,0.06774059578127,1.1245736445730792e-05,0.13130012740486757,-0.0006124146986332679,12,0.7495447296671639,0.9999964591945425,1.0471861471861472,1.0471861471861472,0.9978383350060178,1.0024754116370445,0.0001237373510329931,0.011530934433636175,10,False,11
