method,alpha,scale_train,validation_resolution,validation_mu,validation_sigma,validation_signal_fraction,fit_success
corrected_bottom,0.5900000000000001,0.984946794035033,0.07043084260992696,1.0014246001017195,0.07053117839547325,0.9145817150375158,True
corrected_bottom,0.61,0.9870363149811507,0.06900258569933425,0.9983465643738355,0.0688884943658415,0.901214128075248,True
corrected_bottom,0.63,0.9855685583998519,0.06698676357697222,0.9978812809672796,0.06684483744604135,0.8783667394212537,True
corrected_bottom,0.65,0.9833757338117839,0.0657044007403176,0.9987695760829973,0.06562355647419438,0.8639993626535618,True
corrected_bottom,0.67,0.9793400325594828,0.06493492847757688,1.0014402743090098,0.06502845258682052,0.8550454418443908,True
corrected_bottom,0.6900000000000001,0.9742029244966154,0.06578498633574895,1.0063093259565208,0.06620004525758645,0.8660480942569807,True
corrected_bottom,0.7100000000000001,0.9689890311042548,0.06593906863141687,1.01004977948871,0.06660174173085352,0.859390419623315,True
corrected_bottom,0.7300000000000001,0.9755258063474972,0.06626128464346703,1.0024809574797426,0.0664256760732206,0.8370516440107735,True
corrected_bottom,0.75,0.9723484855526356,0.06745537635444353,1.0048218910532238,0.06778063883017886,0.8372728821555836,True
corrected_bottom,0.77,0.9766673368260377,0.06884956248451567,1.0000336626064463,0.06885188014024159,0.8279478529511117,True
corrected_bottom,0.79,0.9729130769731547,0.07017896376904145,1.002455246818946,0.07035127044659233,0.824919119962681,True
corrected_bottom,0.81,0.9462937562806768,0.0696457997367395,1.0242017168573945,0.07133134766227486,0.8251723676915419,True
corrected_bottom,0.8300000000000001,0.970022882386788,0.07438087076574648,1.0028496824659785,0.07459283262897184,0.833633473288938,True
corrected_bottom,0.8500000000000001,0.9658215908726113,0.07477392248147831,1.003463362194067,0.07503289165770276,0.8108585058790414,True
corrected_bottom,0.87,0.9601370843047354,0.0764362715723017,1.0068206338221126,0.07695761539142393,0.8088246222344775,True
corrected_bottom,0.89,0.9593756047071769,0.07809636875469661,1.0054506427661833,0.07852204416211458,0.794400256523111,True
corrected_bottom,0.91,0.9579176853786837,0.08042250176366336,1.0045999806569883,0.08079244371616282,0.8000115261516856,True
corrected_bottom,0.93,0.9845669397901413,0.09109132371132102,0.9864557348370496,0.08985755866893073,0.8570536134354824,True
corrected_bottom,0.9500000000000001,0.9853236222133752,0.09188581104750092,0.9812550856787976,0.09016341939208132,0.812088379705745,True
corrected_bottom,0.97,0.9265910366630197,0.08897179567162522,1.0318078151671233,0.09180179410343534,0.8857907216693257,True
corrected_lifetime,0.03,0.98764475674559,0.09110561200042995,1.0241655932150149,0.09330723315963732,0.7230377208165477,True
corrected_lifetime,0.05,0.9897043651563635,0.09991980941209516,1.0230283834481764,0.1022208010973056,0.9316299159733349,True
corrected_lifetime,0.07,0.9910280342026531,0.09545525998093703,1.0212106902175089,0.09747993193002445,0.8882575746481756,True
corrected_lifetime,0.09,0.9885071785812187,0.09287607622677864,1.023561434162264,0.0950643697820453,0.9133379851980927,True
corrected_lifetime,0.11,0.9926392546908065,0.09008725273161407,1.0192790867724562,0.09182405269411904,0.9187070205743496,True
corrected_lifetime,0.13,0.9890673497623792,0.08684554725598276,1.0229805809299812,0.08884130838310737,0.9038951479855675,True
corrected_lifetime,0.15,0.9872177981840942,0.08526967381468722,1.0253209953005011,0.08742878682462418,0.8851126873724315,True
corrected_lifetime,0.17,0.9848962429662382,0.0833161936645049,1.0269827599302612,0.08556429451645739,0.882363793966413,True
corrected_lifetime,0.19,0.987044705989286,0.08199500100242335,1.0239713304866307,0.08396053026970406,0.8766976433060388,True
corrected_lifetime,0.21,0.9980029835362298,0.078310691963951,1.0137403375840166,0.07938670730797363,0.8413448237282634,True
corrected_lifetime,0.23,0.99656682365223,0.07567952455354406,1.015131760451168,0.07682468899014658,0.8136789525267663,True
corrected_lifetime,0.25,0.9919317389263083,0.07406865324483944,1.0198239909875262,0.07553698955922333,0.8025637130913937,True
corrected_lifetime,0.27,0.9934609277242916,0.07365003988596307,1.0171754548201448,0.07491501281852629,0.8065375093599368,True
corrected_lifetime,0.29000000000000004,0.992168057029304,0.07510265266223622,1.016866402942645,0.076369364264099,0.8377189887942628,True
corrected_lifetime,0.31000000000000005,0.9906874187851303,0.07631560627206915,1.0173690966537114,0.07764113941359531,0.8707235286676472,True
corrected_lifetime,0.32999999999999996,0.9862724559926588,0.07728948272437182,1.0195975877657202,0.07880417014542981,0.8818088264727959,True
corrected_lifetime,0.35,0.98520143210805,0.07768647113152184,1.0188620849735879,0.0791517999513028,0.8855472724087421,True
corrected_lifetime,0.37,0.9837986536809136,0.07681026988121345,1.0189628740669874,0.07826681335602222,0.8769469698077604,True
corrected_lifetime,0.39,1.0140732012953668,0.07062115740190707,0.9901523868301008,0.06992570756220252,0.7968971929541437,True
corrected_lifetime,0.41000000000000003,0.9740587682321092,0.06958484247497271,1.0236923595637297,0.07123347158307525,0.7725157186039403,True
corrected_lifetime,0.43000000000000005,0.9752138092406677,0.07200366775307467,1.0203168821684037,0.07346655778650676,0.8095684833139368,True
corrected_lifetime,0.44999999999999996,0.983434448240454,0.07480831518758642,1.0117368061083656,0.07568632587823662,0.856652864848437,True
corrected_lifetime,0.47,0.9856147915162812,0.08535560882416218,1.0115370968976047,0.08634036475392058,0.9970893020967021,True
corrected_lifetime,0.49,0.9886321349526581,0.07759332487435569,1.0038007034168732,0.07788823408933221,0.918709896986364,True
