method,bootstrap,baseline_resolution,improved_resolution,delta,ratio
documented_corrected_lifetime,28,0.06253156498054378,0.0486700129920362,-0.013861551988507581,0.7783271217852856
documented_corrected_lifetime,29,0.0643250904774659,0.04894210394705141,-0.015382986530414491,0.7608555788071002
documented_corrected_lifetime,30,0.06190361090501915,0.04872291705565553,-0.013180693849363614,0.7870771404662127
documented_corrected_lifetime,31,0.0660861191590568,0.05213550924803626,-0.013950609911020533,0.7889025700322324
documented_corrected_lifetime,32,0.063859616534387,0.04999769206074449,-0.013861924473642512,0.7829312917001596
documented_corrected_lifetime,33,0.06410960664943795,0.04967868542455921,-0.01443092122487874,0.774902358958628
documented_corrected_lifetime,34,0.06127385082462681,0.05014830809538189,-0.011125542729244917,0.8184291899478039
documented_corrected_lifetime,35,0.06718505184740696,0.052084438612840796,-0.015100613234566164,0.775238496967105
documented_corrected_lifetime,36,0.06267315373734256,0.048446392684366756,-0.014226761052975802,0.7730007155440294
documented_corrected_lifetime,37,0.06226082912969077,0.04803278663659656,-0.014228042493094208,0.7714768227153407
documented_corrected_lifetime,38,0.06656079250959833,0.0483231375638252,-0.018237654945773132,0.7260000330803875
documented_corrected_lifetime,39,0.06180905362239339,0.04963839750105559,-0.012170656121337803,0.8030926634843608
documented_corrected_lifetime,40,0.06408980251822505,0.04959789993362939,-0.014491902584595658,0.7738813038084392
documented_corrected_lifetime,41,0.06311431726877645,0.05058780358521724,-0.012526513683559205,0.8015265913403733
documented_corrected_lifetime,42,0.06575181631129648,0.051239537460031646,-0.014512278851264833,0.7792870271057204
documented_corrected_lifetime,43,0.06409562785113661,0.05021438130292883,-0.013881246548207778,0.7834291196827458
documented_corrected_lifetime,44,0.06330689173888503,0.051812686844020794,-0.011494204894864232,0.8184367518425464
documented_corrected_lifetime,45,0.06500476838918372,0.05265452927448157,-0.01235023911470215,0.8100102589280646
documented_corrected_lifetime,46,0.06384124680059383,0.050202435197244696,-0.013638811603349135,0.7863636397022516
documented_corrected_lifetime,47,0.06689027321163783,0.05135640871135945,-0.015533864500278383,0.7677709515234011
documented_corrected_lifetime,48,0.061550466001723876,0.051191964389374865,-0.010358501612349011,0.831707178105542
documented_corrected_lifetime,49,0.06326048859088622,0.050127115737668884,-0.013133372853217334,0.7923921685437405
documented_corrected_lifetime,50,0.06576113077673314,0.050869241027240684,-0.014891889749492453,0.7735457165410949
documented_corrected_lifetime,51,0.0642398119313784,0.05057569340299441,-0.013664118528383992,0.787295166072713
documented_corrected_lifetime,52,0.06545275419443033,0.05113397730404919,-0.014318776890381142,0.7812349217903563
documented_corrected_lifetime,53,0.06528690143942714,0.051816849533824885,-0.013470051905602257,0.7936791054772342
documented_corrected_lifetime,54,0.06549892012899415,0.05072544387812606,-0.01477347625086809,0.7744470256643456
documented_corrected_lifetime,55,0.06603520810762989,0.05144768586012089,-0.014587522247508998,0.7790947788983569
documented_corrected_lifetime,56,0.06428746536236897,0.05124341565747864,-0.013044049704890329,0.7970980869853094
documented_corrected_lifetime,57,0.06729818775134919,0.05010803380679821,-0.01719015394455098,0.7445673573252148
documented_corrected_lifetime,58,0.06466955794645328,0.049725110413832,-0.01494444753262128,0.7689106280114771
documented_corrected_lifetime,59,0.06607125400147029,0.04894250228988324,-0.01712875171158705,0.7407533431830144
documented_corrected_lifetime,60,0.06316848900082443,0.04900363401886287,-0.014164854981961565,0.7757607439086173
documented_corrected_lifetime,61,0.06380972236073125,0.04976198729656474,-0.014047735064166511,0.7798496131239784
documented_corrected_lifetime,62,0.06395822946210729,0.0492586873476951,-0.014699542114412191,0.770169652317829
documented_corrected_lifetime,63,0.06270120424190809,0.04930881792681633,-0.013392386315091757,0.786409424236535
documented_corrected_lifetime,64,0.06412984289153241,0.050568168836162074,-0.013561674055370336,0.7885278765097209
documented_corrected_lifetime,65,0.06494122909447825,0.05070583610952296,-0.01423539298495529,0.7807957566641485
