bootstrap,baseline_resolution,improved_resolution,delta,ratio
88,0.05948099387682655,0.04612018415419322,-0.01336080972263333,0.7753768245651553
89,0.05932083917504362,0.0448330697553225,-0.014487769419721117,0.7557726825648794
90,0.05854087685375844,0.049088912946222904,-0.009451963907535534,0.8385407869590409
91,0.06088996061594062,0.046773022128644155,-0.014116938487296463,0.7681565508583901
92,0.05739388221955914,0.044130640405096254,-0.013263241814462888,0.7689084393398476
93,0.06352334145145214,0.04727636150806913,-0.016246979943383005,0.7442360623330906
94,0.05795151060163834,0.0466572085333038,-0.011294302068334539,0.8051077193488164
95,0.06470895478596399,0.046149324867803536,-0.01855962991816045,0.7131829747590634
96,0.06545251381826976,0.04654718304924991,-0.018905330769019853,0.7111595924106003
97,0.06300854792036173,0.047204709311189495,-0.015803838609172234,0.7491794505541193
98,0.06275959440843501,0.04512088691074651,-0.017638707497688498,0.7189480323455082
99,0.060112667412349136,0.04642608783018494,-0.013686579582164196,0.7723178795530787
100,0.07147598845291574,0.04923899373559422,-0.022236994717321518,0.6888886016320016
101,0.06760764717438415,0.04980899376909374,-0.01779865340529041,0.7367360920077376
102,0.061750695524427336,0.046743709541183,-0.015006985983244334,0.7569746242403396
103,0.0630013049228457,0.04799781358638286,-0.015003491336462838,0.7618542765925753
104,0.07044658823242175,0.047024802729749265,-0.023421785502672487,0.667524203934506
105,0.06301815494191007,0.05018062152177335,-0.012837533420136722,0.7962883325928802
106,0.06048287967412583,0.04571462542267605,-0.01476825425144978,0.7558275278720312
107,0.062407674967294276,0.04484074961436429,-0.017566925352929988,0.718513382173968
108,0.06260231166657512,0.04556615388700431,-0.017036157779570814,0.7278669536948293
109,0.06447015393825868,0.049162474244396646,-0.015307679693862035,0.7625617629434888
110,0.06244509363048719,0.04851239938813876,-0.013932694242348428,0.7768808815502175
111,0.06696979293927113,0.04951823497058652,-0.01745155796868461,0.7394114987855815
112,0.06387646967330032,0.04716090798896775,-0.016715561684332574,0.7383142529663079
113,0.055469939237144286,0.04552391003531612,-0.009946029201828167,0.8206951487848753
114,0.061719159940261066,0.042573034965919264,-0.019146124974341802,0.6897863646738933
115,0.06075307006241491,0.04616438279545182,-0.014588687266963093,0.759869134975807
